# 2017/03/04 - 16:39
PDB,CHAIN,ACCESSION,EC_NUMBER
1gqw,B,P37610,1.14.11.17
1gqy,A,P45066,6.3.2.8
1gqy,B,P45066,6.3.2.8
1gqz,A,P44859,5.1.1.7
1gr0,A,P9WKI1,5.5.1.4
1gr1,A,P21890,1.18.1.2
1gra,A,P00390,1.8.1.7
1grb,A,P00390,1.8.1.7
1grc,A,P08179,2.1.2.2
1grc,B,P08179,2.1.2.2
1gre,A,P00390,1.8.1.7
1grf,A,P00390,1.8.1.7
1grg,A,P00390,1.8.1.7
1grh,A,P00390,1.8.1.7
1gro,A,P08200,1.1.1.42
1grp,A,P08200,1.1.1.42
1grt,A,P00390,1.8.1.7
1grv,A,P0A9M2,2.4.2.8
1grv,B,P0A9M2,2.4.2.8
1gs0,A,O88554,2.4.2.30
1gs0,B,O88554,2.4.2.30
1gs3,A,P07445,5.3.3.1
1gs5,A,P0A6C8,2.7.2.8
1gs6,X, ,1.7.2.1
1gs6,X, ,1.7.99.3
1gs7,A, ,1.7.2.1
1gs7,A, ,1.7.99.3
1gs8,A, ,1.7.2.1
1gs8,A, ,1.7.99.3
1gsa,A,P04425,6.3.2.3
1gsb,A,P04905,2.5.1.18
1gsb,B,P04905,2.5.1.18
1gsb,C,P04905,2.5.1.18
1gsb,D,P04905,2.5.1.18
1gsc,A,P04905,2.5.1.18
1gsc,B,P04905,2.5.1.18
1gsc,C,P04905,2.5.1.18
1gsc,D,P04905,2.5.1.18
1gsd,A,P08263,2.5.1.18
1gsd,B,P08263,2.5.1.18
1gsd,C,P08263,2.5.1.18
1gsd,D,P08263,2.5.1.18
1gse,A,P08263,2.5.1.18
1gse,B,P08263,2.5.1.18
1gsf,A,P08263,2.5.1.18
1gsf,B,P08263,2.5.1.18
1gsf,C,P08263,2.5.1.18
1gsf,D,P08263,2.5.1.18
1gsg,P,P00962,6.1.1.18
1gsh,A,P04425,6.3.2.3
1gsi,A,P9WKE1,2.7.4.9
1gsj,A,P0A6C8,2.7.2.8
1gsn,A,P00390,1.8.1.7
1gso,A,P15640,6.3.4.13
1gsp,A,P00651,3.1.27.3
1gsq,A,P46088,2.5.1.18
1gss,A,P09211,2.5.1.18
1gss,B,P09211,2.5.1.18
1gsu,A,P20136,2.5.1.18
1gsu,B,P20136,2.5.1.18
1gsy,A,P19157,2.5.1.18
1gsy,B,P19157,2.5.1.18
1gsz,A,P33247,4.2.1.129
1gsz,A,P33247,5.4.99.17
1gsz,B,P33247,4.2.1.129
1gsz,B,P33247,5.4.99.17
1gsz,C,P33247,4.2.1.129
1gsz,C,P33247,5.4.99.17
1gt6,A,O59952,3.1.1.3
1gt6,B,O59952,3.1.1.3
1gt7,A,P32169,4.1.2.19
1gt7,B,P32169,4.1.2.19
1gt7,C,P32169,4.1.2.19
1gt7,D,P32169,4.1.2.19
1gt7,E,P32169,4.1.2.19
1gt7,F,P32169,4.1.2.19
1gt7,G,P32169,4.1.2.19
1gt7,H,P32169,4.1.2.19
1gt7,I,P32169,4.1.2.19
1gt7,J,P32169,4.1.2.19
1gt7,K,P32169,4.1.2.19
1gt7,L,P32169,4.1.2.19
1gt7,M,P32169,4.1.2.19
1gt7,N,P32169,4.1.2.19
1gt7,O,P32169,4.1.2.19
1gt7,P,P32169,4.1.2.19
1gt7,Q,P32169,4.1.2.19
1gt7,R,P32169,4.1.2.19
1gt7,S,P32169,4.1.2.19
1gt7,T,P32169,4.1.2.19
1gt8,A,Q28943,1.3.1.2
1gt8,B,Q28943,1.3.1.2
1gt8,C,Q28943,1.3.1.2
1gt8,D,Q28943,1.3.1.2
1gta,A,P08515,2.5.1.18
1gtb,A,P08515,2.5.1.18
1gtd,A,O26271,6.3.5.3
1gtd,B,O26271,6.3.5.3
1gte,A,Q28943,1.3.1.2
1gte,B,Q28943,1.3.1.2
1gte,C,Q28943,1.3.1.2
1gte,D,Q28943,1.3.1.2
1gth,A,Q28943,1.3.1.2
1gth,B,Q28943,1.3.1.2
1gth,C,Q28943,1.3.1.2
1gth,D,Q28943,1.3.1.2
1gti,A,P19157,2.5.1.18
1gti,B,P19157,2.5.1.18
1gti,C,P19157,2.5.1.18
1gti,D,P19157,2.5.1.18
1gti,E,P19157,2.5.1.18
1gti,F,P19157,2.5.1.18
1gtk,A,P06983,2.5.1.61
1gtm,A,P80319,1.4.1.3
1gtm,B,P80319,1.4.1.3
1gtm,C,P80319,1.4.1.3
1gtp,A,P0A6T5,3.5.4.16
1gtp,B,P0A6T5,3.5.4.16
1gtp,C,P0A6T5,3.5.4.16
1gtp,D,P0A6T5,3.5.4.16
1gtp,E,P0A6T5,3.5.4.16
1gtp,F,P0A6T5,3.5.4.16
1gtp,G,P0A6T5,3.5.4.16
1gtp,H,P0A6T5,3.5.4.16
1gtp,I,P0A6T5,3.5.4.16
1gtp,J,P0A6T5,3.5.4.16
1gtp,K,P0A6T5,3.5.4.16
1gtp,L,P0A6T5,3.5.4.16
1gtp,M,P0A6T5,3.5.4.16
1gtp,N,P0A6T5,3.5.4.16
1gtp,O,P0A6T5,3.5.4.16
1gtp,P,P0A6T5,3.5.4.16
1gtp,Q,P0A6T5,3.5.4.16
1gtp,R,P0A6T5,3.5.4.16
1gtp,S,P0A6T5,3.5.4.16
1gtp,T,P0A6T5,3.5.4.16
1gtq,A,P27213,4.2.3.12
1gtq,B,P27213,4.2.3.12
1gtr,A,P00962,6.1.1.18
1gts,A,P00962,6.1.1.18
1gtt,A,P37352,4.1.1.68
1gtt,A,P37352,5.3.3.10
1gtt,B,P37352,4.1.1.68
1gtt,B,P37352,5.3.3.10
1gtt,C,P37352,4.1.1.68
1gtt,C,P37352,5.3.3.10
1gtt,D,P37352,4.1.1.68
1gtt,D,P37352,5.3.3.10
1gtu,A,P09488,2.5.1.18
1gtu,B,P09488,2.5.1.18
1gtu,C,P09488,2.5.1.18
1gtu,D,P09488,2.5.1.18
1gtv,A,P9WKE1,2.7.4.9
1gtv,B,P9WKE1,2.7.4.9
1gtz,A,P15474,4.2.1.10
1gtz,B,P15474,4.2.1.10
1gtz,C,P15474,4.2.1.10
1gtz,D,P15474,4.2.1.10
1gtz,E,P15474,4.2.1.10
1gtz,F,P15474,4.2.1.10
1gtz,G,P15474,4.2.1.10
1gtz,H,P15474,4.2.1.10
1gtz,I,P15474,4.2.1.10
1gtz,J,P15474,4.2.1.10
1gtz,K,P15474,4.2.1.10
1gtz,L,P15474,4.2.1.10
1gu0,A,P15474,4.2.1.10
1gu0,B,P15474,4.2.1.10
1gu0,C,P15474,4.2.1.10
1gu0,D,P15474,4.2.1.10
1gu0,E,P15474,4.2.1.10
1gu0,F,P15474,4.2.1.10
1gu0,G,P15474,4.2.1.10
1gu0,H,P15474,4.2.1.10
1gu0,I,P15474,4.2.1.10
1gu0,J,P15474,4.2.1.10
1gu0,K,P15474,4.2.1.10
1gu0,L,P15474,4.2.1.10
1gu1,A,P15474,4.2.1.10
1gu1,B,P15474,4.2.1.10
1gu1,C,P15474,4.2.1.10
1gu1,D,P15474,4.2.1.10
1gu1,E,P15474,4.2.1.10
1gu1,F,P15474,4.2.1.10
1gu1,G,P15474,4.2.1.10
1gu1,H,P15474,4.2.1.10
1gu1,I,P15474,4.2.1.10
1gu1,J,P15474,4.2.1.10
1gu1,K,P15474,4.2.1.10
1gu1,L,P15474,4.2.1.10
1gu3,A,P14090,3.2.1.4
1gu6,A,P0ABK9,1.7.2.2
1gu6,C,P0ABK9,1.7.2.2
1gu6,E,P0ABK9,1.7.2.2
1gu6,G,P0ABK9,1.7.2.2
1gu7,A,Q8WZM3,1.3.1.10
1gu7,A,Q8WZM3,1.3.1.38
1gu7,B,Q8WZM3,1.3.1.10
1gu7,B,Q8WZM3,1.3.1.38
1gua,B,P04049,2.7.11.1
1guf,A,Q8WZM3,1.3.1.10
1guf,A,Q8WZM3,1.3.1.38
1guf,B,Q8WZM3,1.3.1.10
1guf,B,Q8WZM3,1.3.1.38
1guh,A,P08263,2.5.1.18
1guh,B,P08263,2.5.1.18
1guh,C,P08263,2.5.1.18
1guh,D,P08263,2.5.1.18
1guk,A,P24472,2.5.1.18
1guk,B,P24472,2.5.1.18
1gul,A,O15217,2.5.1.18
1gul,B,O15217,2.5.1.18
1gul,C,O15217,2.5.1.18
1gul,D,O15217,2.5.1.18
1gul,E,O15217,2.5.1.18
1gul,F,O15217,2.5.1.18
1gul,G,O15217,2.5.1.18
1gul,H,O15217,2.5.1.18
1gum,A,O15217,2.5.1.18
1gum,B,O15217,2.5.1.18
1gum,C,O15217,2.5.1.18
1gum,D,O15217,2.5.1.18
1gum,E,O15217,2.5.1.18
1gum,F,O15217,2.5.1.18
1gum,G,O15217,2.5.1.18
1gum,H,O15217,2.5.1.18
1gup,A,P09148,2.7.7.12
1gup,B,P09148,2.7.7.12
1gup,C,P09148,2.7.7.12
1gup,D,P09148,2.7.7.12
1guq,A,P09148,2.7.7.12
1guq,B,P09148,2.7.7.12
1guq,C,P09148,2.7.7.12
1guq,D,P09148,2.7.7.12
1guv,A,Q13231,3.2.1.14
1guy,A,P80040,1.1.1.37
1guy,C,P80040,1.1.1.37
1guz,A,P0C890,1.1.1.37
1guz,A,P80039,1.1.1.37
1guz,B,P0C890,1.1.1.37
1guz,C,P0C890,1.1.1.37
1guz,C,P80039,1.1.1.37
1guz,D,P0C890,1.1.1.37
1guz,D,P80039,1.1.1.37
1gv0,A,P80039,1.1.1.37
1gv0,B,P80039,1.1.1.37
1gv1,A,P0C890,1.1.1.37
1gv1,B,P0C890,1.1.1.37
1gv1,C,P0C890,1.1.1.37
1gv1,D,P0C890,1.1.1.37
1gv7,A,P61823,3.1.27.5
1gve,A, ,1.-.-.-
1gve,B, ,1.-.-.-
1gvf,A,P0AB74,4.1.2.40
1gvf,B,P0AB74,4.1.2.40
1gvg,A,Q05581,1.14.11.21
1gvh,A,P24232,1.14.12.17
1gvk,B,P00772,3.4.21.36
1gvm,A,P06653,3.5.1.28
1gvm,B,P06653,3.5.1.28
1gvm,C,P06653,3.5.1.28
1gvm,D,P06653,3.5.1.28
1gvm,E,P06653,3.5.1.28
1gvm,F,P06653,3.5.1.28
1gvn,B,Q54944,2.7.1.176
1gvn,D,Q54944,2.7.1.176
1gvt,A,P11838,3.4.23.22
1gvu,A,P11838,3.4.23.22
1gvv,A,P11838,3.4.23.22
1gvw,A,P11838,3.4.23.22
1gvx,A,P11838,3.4.23.22
1gvy,A,P49424,3.2.1.78
1gvz,A,Q6H321,3.4.21.35
1gw0,A,Q70KY3,1.10.3.2
1gw0,B,Q70KY3,1.10.3.2
1gw1,A,P49424,3.2.1.78
1gw2,A,P00433,1.11.1.7
1gw6,A,P09960,3.3.2.6
1gw9,A,P24300,5.3.1.5
1gwa,A,P00772,3.4.21.36
1gwc,A, ,2.5.1.18
1gwc,B, ,2.5.1.18
1gwc,C, ,2.5.1.18
1gwd,A,P00698,3.2.1.17
1gwe,A,P29422,1.11.1.6
1gwf,A,P29422,1.11.1.6
1gwh,A,P29422,1.11.1.6
1gwo,A,P00433,1.11.1.7
1gwt,A,P00433,1.11.1.7
1gwu,A,P00433,1.11.1.7
1gwv,A,P14769,2.4.1.87
1gwv,B,P14769,2.4.1.87
1gww,A,P14769,2.4.1.87
1gww,B,P14769,2.4.1.87
1gwz,A,P29350,3.1.3.48
1gx0,A,P14769,2.4.1.87
1gx0,B,P14769,2.4.1.87
1gx1,A,P62617,4.6.1.12
1gx1,B,P62617,4.6.1.12
1gx1,C,P62617,4.6.1.12
1gx2,A,P00433,1.11.1.7
1gx2,B,P00433,1.11.1.7
1gx3,A,O86309,2.3.1.5
1gx3,B,O86309,2.3.1.5
1gx3,C,O86309,2.3.1.5
1gx3,D,O86309,2.3.1.5
1gx4,A,P14769,2.4.1.87
1gx4,B,P14769,2.4.1.87
1gx5,A,P26663,2.7.7.48
1gx5,A,P26663,3.4.21.98
1gx5,A,P26663,3.6.1.15
1gx5,A,P26663,3.6.4.13
1gx6,A,P26663,2.7.7.48
1gx6,A,P26663,3.4.21.98
1gx6,A,P26663,3.6.1.15
1gx6,A,P26663,3.6.4.13
1gx7,A,P07598,1.12.7.2
1gx7,D,P07603,1.12.7.2
1gxb,A,P50384,2.4.2.18
1gxb,B,P50384,2.4.2.18
1gxb,C,P50384,2.4.2.18
1gxb,D,P50384,2.4.2.18
1gxc,A,O96017,2.7.11.1
1gxc,D,O96017,2.7.11.1
1gxc,G,O96017,2.7.11.1
1gxc,J,O96017,2.7.11.1
1gxd,A,P08253,3.4.24.24
1gxd,B,P08253,3.4.24.24
1gxf,A,P28593,1.8.1.12
1gxf,B,P28593,1.8.1.12
1gxm,A, ,4.2.2.2
1gxm,B, ,4.2.2.2
1gxn,A, ,4.2.2.2
1gxo,A, ,4.2.2.2
1gxs,A,P52708,4.1.2.11
1gxs,B,P52708,4.1.2.11
1gxs,C,P52708,4.1.2.11
1gxs,D,P52708,4.1.2.11
1gxv,2,P00698,3.2.1.17
1gxw,A,P00800,3.4.24.27
1gxx,A,P00698,3.2.1.17
1gxy,A,P20974,2.4.2.31
1gxy,A,P20974,3.2.2.5
1gxy,B,P20974,2.4.2.31
1gxy,B,P20974,3.2.2.5
1gxz,A,P20974,2.4.2.31
1gxz,A,P20974,3.2.2.5
1gxz,B,P20974,2.4.2.31
1gxz,B,P20974,3.2.2.5
1gy0,A,P20974,2.4.2.31
1gy0,A,P20974,3.2.2.5
1gy3,A,P24941,2.7.11.22
1gy3,C,P24941,2.7.11.22
1gy8,A, ,5.1.3.2
1gy8,B, ,5.1.3.2
1gy8,C, ,5.1.3.2
1gy8,D, ,5.1.3.2
1gy9,A,P37610,1.14.11.17
1gy9,B,P37610,1.14.11.17
1gyc,A,Q12718,1.10.3.2
1gyd,B,P95470,3.2.1.55
1gye,B,P95470,3.2.1.55
1gyg,A,P0C216,3.1.4.3
1gyg,B,P0C216,3.1.4.3
1gyh,A,P95470,3.2.1.55
1gyh,B,P95470,3.2.1.55
1gyh,C,P95470,3.2.1.55
1gyh,D,P95470,3.2.1.55
1gyh,E,P95470,3.2.1.55
1gyh,F,P95470,3.2.1.55
1gyj,A, ,5.3.2.1
1gyj,B, ,5.3.2.1
1gyl,A,P05414,1.1.3.15
1gyl,B,P05414,1.1.3.15
1gym,A,P14262,4.6.1.13
1gyn,A,P0AB71,4.1.2.13
1gyp,A,Q27890,1.2.1.12
1gyp,B,Q27890,1.2.1.12
1gyp,C,Q27890,1.2.1.12
1gyp,D,Q27890,1.2.1.12
1gyq,A,Q27890,1.2.1.12
1gyq,B,Q27890,1.2.1.12
1gyq,C,Q27890,1.2.1.12
1gyq,D,Q27890,1.2.1.12
1gyr,A,Q8WZM3,1.3.1.10
1gyr,A,Q8WZM3,1.3.1.38
1gyr,B,Q8WZM3,1.3.1.10
1gyr,B,Q8WZM3,1.3.1.38
1gyr,C,Q8WZM3,1.3.1.10
1gyr,C,Q8WZM3,1.3.1.38
1gyt,A,P68767,3.4.11.1
1gyt,A,P68767,3.4.11.10
1gyt,B,P68767,3.4.11.1
1gyt,B,P68767,3.4.11.10
1gyt,C,P68767,3.4.11.1
1gyt,C,P68767,3.4.11.10
1gyt,D,P68767,3.4.11.1
1gyt,D,P68767,3.4.11.10
1gyt,E,P68767,3.4.11.1
1gyt,E,P68767,3.4.11.10
1gyt,F,P68767,3.4.11.1
1gyt,F,P68767,3.4.11.10
1gyt,G,P68767,3.4.11.1
1gyt,G,P68767,3.4.11.10
1gyt,H,P68767,3.4.11.1
1gyt,H,P68767,3.4.11.10
1gyt,I,P68767,3.4.11.1
1gyt,I,P68767,3.4.11.10
1gyt,J,P68767,3.4.11.1
1gyt,J,P68767,3.4.11.10
1gyt,K,P68767,3.4.11.1
1gyt,K,P68767,3.4.11.10
1gyt,L,P68767,3.4.11.1
1gyt,L,P68767,3.4.11.10
1gyx,A, ,5.3.2.1
1gyx,B, ,5.3.2.1
1gyy,A, ,5.3.2.1
1gyy,B, ,5.3.2.1
1gz0,A,P63177,2.1.1.185
1gz0,B,P63177,2.1.1.185
1gz0,C,P63177,2.1.1.185
1gz0,D,P63177,2.1.1.185
1gz0,E,P63177,2.1.1.185
1gz0,F,P63177,2.1.1.185
1gz0,G,P63177,2.1.1.185
1gz0,H,P63177,2.1.1.185
1gz1,A,Q9C1S9,3.2.1.91
1gz3,A,P23368,1.1.1.38
1gz3,B,P23368,1.1.1.38
1gz3,C,P23368,1.1.1.38
1gz3,D,P23368,1.1.1.38
1gz4,A,P23368,1.1.1.38
1gz4,B,P23368,1.1.1.38
1gz4,C,P23368,1.1.1.38
1gz4,D,P23368,1.1.1.38
1gz5,A,P31677,2.4.1.15
1gz5,B,P31677,2.4.1.15
1gz5,C,P31677,2.4.1.15
1gz5,D,P31677,2.4.1.15
1gz6,A,P97852,1.1.1.n12
1gz6,A,P97852,4.2.1.107
1gz6,A,P97852,4.2.1.119
1gz6,B,P97852,1.1.1.n12
1gz6,B,P97852,4.2.1.107
1gz6,B,P97852,4.2.1.119
1gz6,C,P97852,1.1.1.n12
1gz6,C,P97852,4.2.1.107
1gz6,C,P97852,4.2.1.119
1gz6,D,P97852,1.1.1.n12
1gz6,D,P97852,4.2.1.107
1gz6,D,P97852,4.2.1.119
1gz7,A,P32946,3.1.1.3
1gz7,B,P32946,3.1.1.3
1gz7,C,P32946,3.1.1.3
1gz7,D,P32946,3.1.1.3
1gz8,A,P24941,2.7.11.22
1gza,A,P28313,1.11.1.7
1gzb,A,P28313,1.11.1.7
1gzd,A,P08059,5.3.1.9
1gze,A, ,2.4.2.-
1gze,B, ,2.4.2.-
1gze,C, ,2.4.2.-
1gze,D, ,2.4.2.-
1gzf,A, ,2.4.2.-
1gzf,B, ,2.4.2.-
1gzf,C, ,2.4.2.-
1gzf,D, ,2.4.2.-
1gzg,A,Q59643,4.2.1.24
1gzg,B,Q59643,4.2.1.24
1gzj,A, ,3.2.1.4
1gzj,B, ,3.2.1.4
1gzk,A,P31751,2.7.11.1
1gzn,A,P31751,2.7.11.1
1gzo,A,P31751,2.7.11.1
1gzu,A,Q9HAN9,2.7.7.1
1gzu,A,Q9HAN9,2.7.7.18
1gzu,B,Q9HAN9,2.7.7.1
1gzu,B,Q9HAN9,2.7.7.18
1gzu,C,Q9HAN9,2.7.7.1
1gzu,C,Q9HAN9,2.7.7.18
1gzv,A,P08059,5.3.1.9
1h00,A,P24941,2.7.11.22
1h01,A,P24941,2.7.11.22
1h05,A,P9WPX7,4.2.1.10
1h07,A,P24941,2.7.11.22
1h08,A,P24941,2.7.11.22
1h09,A,P15057,3.2.1.17
1h0b,A, ,3.2.1.4
1h0b,B, ,3.2.1.4
1h0c,A,P21549,2.6.1.44
1h0c,A,P21549,2.6.1.51
1h0g,A,P11797,3.2.1.14
1h0g,B,P11797,3.2.1.14
1h0h,A,Q934F5,1.2.1.2
1h0h,K,Q934F5,1.2.1.2
1h0i,A,P11797,3.2.1.14
1h0i,B,P11797,3.2.1.14
1h0k,A,Q8WZM4,1.3.1.10
1h0k,A,Q8WZM4,1.3.1.38
1h0k,B,Q8WZM4,1.3.1.10
1h0k,B,Q8WZM4,1.3.1.38
1h0n,A,P11157,1.17.4.1
1h0o,A,P11157,1.17.4.1
1h0p,A,P52013,5.2.1.8
1h0r,A,P9WPX7,4.2.1.10
1h0s,A,P9WPX7,4.2.1.10
1h0v,A,P24941,2.7.11.22
1h0w,A,P24941,2.7.11.22
1h10,A,P31749,2.7.11.1
1h11,A,O85465,3.2.1.4
1h12,A, ,3.2.1.8
1h13,A, ,3.2.1.8
1h14,A, ,3.2.1.8
1h15,C,P03198,2.7.7.7
1h15,F,P03198,2.7.7.7
1h16,A,P09373,2.3.1.54
1h17,A,P09373,2.3.1.54
1h18,A,P09373,2.3.1.54
1h18,B,P09373,2.3.1.54
1h19,A,P09960,3.3.2.6
1h1a,A, ,3.2.1.8
1h1a,B, ,3.2.1.8
1h1b,A,P08246,3.4.21.37
1h1b,B,P08246,3.4.21.37
1h1c,A,Q9X0D0,2.6.1.9
1h1c,B,Q9X0D0,2.6.1.9
1h1c,C,Q9X0D0,2.6.1.9
1h1c,D,Q9X0D0,2.6.1.9
1h1d,A,P22734,2.1.1.6
1h1h,A, ,3.1.27.-
1h1i,A,Q7SIC2,1.13.11.24
1h1i,B,Q7SIC2,1.13.11.24
1h1i,C,Q7SIC2,1.13.11.24
1h1i,D,Q7SIC2,1.13.11.24
1h1l,A,P00466,1.18.6.1
1h1l,B,P09772,1.18.6.1
1h1l,C,P00466,1.18.6.1
1h1l,D,P09772,1.18.6.1
1h1m,A,Q7SIC2,1.13.11.24
1h1m,B,Q7SIC2,1.13.11.24
1h1m,C,Q7SIC2,1.13.11.24
1h1m,D,Q7SIC2,1.13.11.24
1h1n,A, ,3.2.1.4
1h1n,B, ,3.2.1.4
1h1p,A,P24941,2.7.11.22
1h1p,C,P24941,2.7.11.22
1h1q,A,P24941,2.7.11.22
1h1q,C,P24941,2.7.11.22
1h1r,A,P24941,2.7.11.22
1h1r,C,P24941,2.7.11.22
1h1s,A,P24941,2.7.11.22
1h1s,C,P24941,2.7.11.22
1h1t,A,P0A6I6,2.7.7.3
1h1t,B,P0A6I6,2.7.7.3
1h1w,A,O15530,2.7.11.1
1h1y,A,Q9SE42,5.1.3.1
1h1y,B,Q9SE42,5.1.3.1
1h1z,A,Q9SE42,5.1.3.1
1h1z,B,Q9SE42,5.1.3.1
1h22,A,P04058,3.1.1.7
1h23,A,P04058,3.1.1.7
1h24,A,P24941,2.7.11.22
1h24,C,P24941,2.7.11.22
1h25,A,P24941,2.7.11.22
1h25,C,P24941,2.7.11.22
1h26,A,P24941,2.7.11.22
1h26,C,P24941,2.7.11.22
1h27,A,P24941,2.7.11.22
1h27,C,P24941,2.7.11.22
1h28,A,P24941,2.7.11.22
1h28,C,P24941,2.7.11.22
1h2a,L,P21852,1.12.2.1
1h2a,S,P21853,1.12.2.1
1h2b,A, ,1.1.1.1
1h2b,B, ,1.1.1.1
1h2g,A,P06875,3.5.1.11
1h2g,B,P06875,3.5.1.11
1h2h,A,Q9X1X6,1.4.1.21
1h2j,A,O85465,3.2.1.4
1h2k,A,Q9NWT6,1.14.11.30
1h2k,A,Q9NWT6,1.14.11.n4
1h2l,A,Q9NWT6,1.14.11.30
1h2l,A,Q9NWT6,1.14.11.n4
1h2m,A,Q9NWT6,1.14.11.30
1h2m,A,Q9NWT6,1.14.11.n4
1h2n,A,Q9NWT6,1.14.11.30
1h2n,A,Q9NWT6,1.14.11.n4
1h2r,L,P21852,1.12.2.1
1h2r,S,P21853,1.12.2.1
1h2w,A,P23687,3.4.21.26
1h2x,A,P23687,3.4.21.26
1h2y,A,P23687,3.4.21.26
1h2z,A,P23687,3.4.21.26
1h35,A,P33247,4.2.1.129
1h35,A,P33247,5.4.99.17
1h35,B,P33247,4.2.1.129
1h35,B,P33247,5.4.99.17
1h35,C,P33247,4.2.1.129
1h35,C,P33247,5.4.99.17
1h36,A,P33247,4.2.1.129
1h36,A,P33247,5.4.99.17
1h36,B,P33247,4.2.1.129
1h36,B,P33247,5.4.99.17
1h36,C,P33247,4.2.1.129
1h36,C,P33247,5.4.99.17
1h37,A,P33247,4.2.1.129
1h37,A,P33247,5.4.99.17
1h37,B,P33247,4.2.1.129
1h37,B,P33247,5.4.99.17
1h37,C,P33247,4.2.1.129
1h37,C,P33247,5.4.99.17
1h38,A,P00573,2.7.7.6
1h38,B,P00573,2.7.7.6
1h38,C,P00573,2.7.7.6
1h38,D,P00573,2.7.7.6
1h39,A,P33247,4.2.1.129
1h39,A,P33247,5.4.99.17
1h39,B,P33247,4.2.1.129
1h39,B,P33247,5.4.99.17
1h39,C,P33247,4.2.1.129
1h39,C,P33247,5.4.99.17
1h3a,A,P33247,4.2.1.129
1h3a,A,P33247,5.4.99.17
1h3a,B,P33247,4.2.1.129
1h3a,B,P33247,5.4.99.17
1h3a,C,P33247,4.2.1.129
1h3a,C,P33247,5.4.99.17
1h3b,A,P33247,4.2.1.129
1h3b,A,P33247,5.4.99.17
1h3b,B,P33247,4.2.1.129
1h3b,B,P33247,5.4.99.17
1h3b,C,P33247,4.2.1.129
1h3b,C,P33247,5.4.99.17
1h3c,A,P33247,4.2.1.129
1h3c,A,P33247,5.4.99.17
1h3c,B,P33247,4.2.1.129
1h3c,B,P33247,5.4.99.17
1h3c,C,P33247,4.2.1.129
1h3c,C,P33247,5.4.99.17
1h3d,A,P60757,2.4.2.17
1h3e,A,P83453,6.1.1.1
1h3f,A,P83453,6.1.1.1
1h3f,B,P83453,6.1.1.1
1h3g,A, ,3.2.1.54
1h3g,B, ,3.2.1.54
1h3i,A,Q8WTS6,2.1.1.43
1h3i,B,Q8WTS6,2.1.1.43
1h3j,A,P28314,1.11.1.7
1h3j,B,P28314,1.11.1.7
1h3m,A,Q46893,2.7.7.60
1h3m,B,Q46893,2.7.7.60
1h3n,A, ,6.1.1.4
1h41,A,B3PC73,3.2.1.131
1h41,B,B3PC73,3.2.1.131
1h42,A,P21890,1.18.1.2
1h46,X, ,3.2.1.91
1h47,A,P62617,4.6.1.12
1h47,B,P62617,4.6.1.12
1h47,C,P62617,4.6.1.12
1h47,D,P62617,4.6.1.12
1h47,E,P62617,4.6.1.12
1h47,F,P62617,4.6.1.12
1h48,A,P62617,4.6.1.12
1h48,B,P62617,4.6.1.12
1h48,C,P62617,4.6.1.12
1h48,D,P62617,4.6.1.12
1h48,E,P62617,4.6.1.12
1h48,F,P62617,4.6.1.12
1h49,A,P49235,3.2.1.182
1h49,A,P49235,3.2.1.21
1h49,B,P49235,3.2.1.182
1h49,B,P49235,3.2.1.21
1h4c,A,P32173,2.7.7.77
1h4d,A,P32173,2.7.7.77
1h4e,A,P32173,2.7.7.77
1h4f,A,P0A953,2.3.1.41
1h4f,B,P0A953,2.3.1.41
1h4f,C,P0A953,2.3.1.41
1h4f,D,P0A953,2.3.1.41
1h4g,A, ,3.2.1.8
1h4g,B, ,3.2.1.8
1h4h,A, ,3.2.1.8
1h4h,B, ,3.2.1.8
1h4h,C, ,3.2.1.8
1h4h,D, ,3.2.1.8
1h4i,A,P16027,1.1.2.7
1h4i,B,P14775,1.1.2.7
1h4i,C,P16027,1.1.2.7
1h4i,D,P14775,1.1.2.7
1h4j,A,P16027,1.1.2.7
1h4j,B,P14775,1.1.2.7
1h4j,C,P16027,1.1.2.7
1h4j,D,P14775,1.1.2.7
1h4j,E,P16027,1.1.2.7
1h4j,F,P14775,1.1.2.7
1h4j,G,P16027,1.1.2.7
1h4j,H,P14775,1.1.2.7
1h4k,X,P52197,2.8.1.1
1h4l,A,Q00535,2.7.11.1
1h4l,B,Q00535,2.7.11.1
1h4m,X,P52197,2.8.1.1
1h4n,A,P00918,4.2.1.1
1h4o,A,P30044,1.11.1.15
1h4o,B,P30044,1.11.1.15
1h4o,C,P30044,1.11.1.15
1h4o,D,P30044,1.11.1.15
1h4o,E,P30044,1.11.1.15
1h4o,F,P30044,1.11.1.15
1h4o,G,P30044,1.11.1.15
1h4o,H,P30044,1.11.1.15
1h4p,A,P23776,3.2.1.58
1h4p,B,P23776,3.2.1.58
1h4q,A,Q5SM28,6.1.1.15
1h4q,B,Q5SM28,6.1.1.15
1h4s,A,Q5SM28,6.1.1.15
1h4s,B,Q5SM28,6.1.1.15
1h4t,A,Q5SM28,6.1.1.15
1h4t,B,Q5SM28,6.1.1.15
1h4t,C,Q5SM28,6.1.1.15
1h4t,D,Q5SM28,6.1.1.15
1h4v,B,P62374,6.1.1.21
1h4w,A,P35030,3.4.21.4
1h53,A, ,3.1.27.-
1h54,A, ,2.4.1.8
1h54,B, ,2.4.1.8
1h55,A,P00433,1.11.1.7
1h56,A,P23657,3.1.21.4
1h56,B,P23657,3.1.21.4
